uri, type, function, detail
./run_pipy.py:get_current_githash, function, subprocess.check_output, [CLASS]: subprocess:check_output
./run_pipy.py:get_current_githash, function, label.decode, [CLASS]: label:decode
./run_pipy.py:update_version, function, open, [built-In]:open
./run_pipy.py:update_version, function, Version.parse, [CLASS]: Version:parse
./run_pipy.py:update_version, function, int, [built-In]:int
./run_pipy.py:update_version, function, file.write, [CLASS]: file:write
./run_pipy.py:update_version, function, version.new_version, [CLASS]: version:new_version
./run_pipy.py:git_commit, function, ask, ask
./run_pipy.py:git_commit, function, exit, exit
./run_pipy.py:git_commit, function, os.system, [CLASS]: os:system
./run_pipy.py:ask, function, input, [built-In]:input
./run_pipy.py:ask, function, ans.lower, [CLASS]: ans:lower
./run_pipy.py:pypi_upload, function, os.system, [CLASS]: os:system
./run_pipy.py:pypi_upload, function, print, [built-In]:print
./run_pipy.py:pypi_upload, function, os.listdir, [CLASS]: os:listdir
./run_pipy.py:pypi_upload, function, item.endswith, [CLASS]: item:endswith
./run_pipy.py:main, function, update_version, update_version
./setup.py:get_current_githash, function, subprocess.check_output, [CLASS]: subprocess:check_output
./setup.py:get_current_githash, function, label.decode, [CLASS]: label:decode
./test.py:pd_random, function, random.random, [CLASS]: random:random
./test.py:pd_random, function, range, [built-In]:range
./test.py:pd_random, function, pd.DataFrame, [CLASS]: pd:DataFrame
./test.py:test_utilmy_plot, function, pd_random, pd_random
./test.py:test_utilmy_plot, function, pd_plot_multi, pd_plot_multi
./test.py:test_utilmy_pd_os_session, function, random.random, [CLASS]: random:random
./test.py:test_utilmy_pd_os_session, function, range, [built-In]:range
./test.py:test_utilmy_pd_os_session, function, pd.DataFrame, [CLASS]: pd:DataFrame
./test.py:test_utilmy_pd_os_session, function, len, [built-In]:len
./test.py:test_utilmy_pd_os_session, function, os.makedirs, [CLASS]: os:makedirs
./test.py:test_utilmy_pd_os_session, function, df.to_csv, [CLASS]: df:to_csv
./test.py:test_utilmy_pd_os_session, function, pd_read_file, pd_read_file
./test.py:test_utilmy_pd_os_session, function, round, [built-In]:round
./test.py:test_utilmy_pd_os_session, function, print, [built-In]:print
./test.py:test_utilmy_pd_os_session, function, git_repo_root, git_repo_root
./test.py:test_utilmy_pd_os_session, function, os_makedirs, os_makedirs
./test.py:test_utilmy_pd_os_session, function, os.system, [CLASS]: os:system
./test.py:test_utilmy_pd_os_session, function, os_removedirs, os_removedirs
