uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
github/AccessToken.py:AccessToken,AccessToken,class,16,69,40,766,11.1,0,3,[],[],[],26,[],[],0
github/AccessToken.py:AccessToken:__repr__,AccessToken:__repr__,method,2,11,11,107,9.73,0,0,['self'],[None],[None],31,[],['self.get__repr__'],1
github/AccessToken.py:AccessToken:token,AccessToken:token,method,2,2,2,23,11.5,0,0,['self'],[None],[None],41,"['        """"""\n', '        :type: string\n', '        """"""\n']",[],0
github/AccessToken.py:AccessToken:type,AccessToken:type,method,2,2,2,22,11.0,0,0,['self'],[None],[None],48,"['        """"""\n', '        :type: string\n', '        """"""\n']",[],0
github/AccessToken.py:AccessToken:scope,AccessToken:scope,method,2,2,2,23,11.5,0,0,['self'],[None],[None],55,"['        """"""\n', '        :type: string\n', '        """"""\n']",[],0
github/AccessToken.py:AccessToken:_initAttributes,AccessToken:_initAttributes,method,4,6,5,115,19.17,0,0,['self'],[None],[None],61,[],[],0
github/AccessToken.py:AccessToken:_useAttributes,AccessToken:_useAttributes,method,4,30,16,313,10.43,0,3,"['self', 'attributes']","[None, None]","[None, None]",66,[],['self._makeStringAttribute'],1
github/ApplicationOAuth.py:ApplicationOAuth,ApplicationOAuth,class,30,139,92,1695,12.19,0,6,[],[],[],29,[],[],0
github/ApplicationOAuth.py:ApplicationOAuth:__repr__,ApplicationOAuth:__repr__,method,2,3,3,59,19.67,0,0,['self'],[None],[None],35,[],['self.get__repr__'],1
github/ApplicationOAuth.py:ApplicationOAuth:client_id,ApplicationOAuth:client_id,method,2,2,2,27,13.5,0,0,['self'],[None],[None],39,[],[],0
github/ApplicationOAuth.py:ApplicationOAuth:client_secret,ApplicationOAuth:client_secret,method,2,2,2,31,15.5,0,0,['self'],[None],[None],43,[],[],0
github/ApplicationOAuth.py:ApplicationOAuth:_initAttributes,ApplicationOAuth:_initAttributes,method,3,4,4,89,22.25,0,0,['self'],[None],[None],46,[],[],0
github/ApplicationOAuth.py:ApplicationOAuth:_useAttributes,ApplicationOAuth:_useAttributes,method,3,20,13,229,11.45,0,2,"['self', 'attributes']","[None, None]","[None, None]",50,[],['self._makeStringAttribute'],1
github/ApplicationOAuth.py:ApplicationOAuth:get_login_url,ApplicationOAuth:get_login_url,method,9,42,26,439,10.45,0,3,"['self', 'redirect_uri', 'state', 'login']","[None, None, None, None]","[None, 'None', 'None', 'None']",56,"['        """"""\n', '        Return the URL you need to redirect a user to in order to authorize\n', '        your App.\n', '        :type: string\n', '        """"""\n']",['isinstance'],1
github/ApplicationOAuth.py:ApplicationOAuth:get_access_token,ApplicationOAuth:get_access_token,method,10,44,43,563,12.8,0,1,"['self', 'code', 'state']","[None, None, None]","[None, None, 'None']",78,"['        """"""\n', '        :calls: `POST /login/oauth/access_token <https://docs.github.com/en/developers/apps/identifying-and-authorizing-users-for-github-apps>`_\n', '        :param code: string\n', '        :param state: string\n', '        """"""\n']","['isinstance', 'AccessToken']",2
github/AuthenticatedUser.py:AuthenticatedUser,AuthenticatedUser,class,255,2432,734,30994,12.74,1,90,[],[],[],64,[],[],0
github/AuthenticatedUser.py:AuthenticatedUser:__repr__,AuthenticatedUser:__repr__,method,2,3,3,51,17.0,0,0,['self'],[None],[None],71,[],['self.get__repr__'],1
github/AuthenticatedUser.py:AuthenticatedUser:avatar_url,AuthenticatedUser:avatar_url,method,3,3,3,69,23.0,0,0,['self'],[None],[None],75,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:bio,AuthenticatedUser:bio,method,3,3,3,55,18.33,0,0,['self'],[None],[None],83,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:blog,AuthenticatedUser:blog,method,3,3,3,57,19.0,0,0,['self'],[None],[None],91,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:collaborators,AuthenticatedUser:collaborators,method,3,3,3,75,25.0,0,0,['self'],[None],[None],99,"['        """"""\n', '        :type: integer\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:company,AuthenticatedUser:company,method,3,3,3,63,21.0,0,0,['self'],[None],[None],107,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:created_at,AuthenticatedUser:created_at,method,3,3,3,69,23.0,0,0,['self'],[None],[None],115,"['        """"""\n', '        :type: datetime.datetime\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:disk_usage,AuthenticatedUser:disk_usage,method,3,3,3,69,23.0,0,0,['self'],[None],[None],123,"['        """"""\n', '        :type: integer\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:email,AuthenticatedUser:email,method,3,3,3,59,19.67,0,0,['self'],[None],[None],131,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:events_url,AuthenticatedUser:events_url,method,3,3,3,69,23.0,0,0,['self'],[None],[None],139,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:followers,AuthenticatedUser:followers,method,3,3,3,67,22.33,0,0,['self'],[None],[None],147,"['        """"""\n', '        :type: integer\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:followers_url,AuthenticatedUser:followers_url,method,3,3,3,75,25.0,0,0,['self'],[None],[None],155,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:following,AuthenticatedUser:following,method,3,3,3,67,22.33,0,0,['self'],[None],[None],163,"['        """"""\n', '        :type: integer\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:following_url,AuthenticatedUser:following_url,method,3,3,3,75,25.0,0,0,['self'],[None],[None],171,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:gists_url,AuthenticatedUser:gists_url,method,3,3,3,67,22.33,0,0,['self'],[None],[None],179,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:gravatar_id,AuthenticatedUser:gravatar_id,method,3,3,3,71,23.67,0,0,['self'],[None],[None],187,"['        """"""\n', '        :type: string\n', '        """"""\n']",['self._completeIfNotSet'],1
github/AuthenticatedUser.py:AuthenticatedUser:hireable,AuthenticatedUser:hireable,method,3,3,3,65,21.67,0,0,['self'],[None],[None],195,"['        """"""\n', '        :type: bool\n', '        """"""\n']",['self._completeIfNotSet'],1
