uri, type, function, type2, path2, tag
dsa2/core_deploy.py:load_arguments, function, argparse.ArgumentParser, [CLASS] [STDLIB], , [CLASS] [STDLIB]: argparse:ArgumentParser
dsa2/core_deploy.py:load_arguments, function, p.add_argument, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: p:add_argument
dsa2/core_deploy.py:load_arguments, function, p.parse_args, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: p:parse_args
dsa2/core_run.py:get_global_pars, function, log, , , log
dsa2/core_run.py:get_global_pars, function, print, , , print
dsa2/core_run.py:get_global_pars, function, load_function_uri, , , load_function_uri
dsa2/core_run.py:get_global_pars, function, model_dict_fun, , , model_dict_fun
dsa2/core_run.py:get_config_path, function, print, , , print
dsa2/core_run.py:get_config_path, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:get_config_path, function, len, , , len
dsa2/core_run.py:get_config_path, function, config.split, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: config:split
dsa2/core_run.py:data_profile2, function, get_config_path, , , get_config_path
dsa2/core_run.py:data_profile2, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:data_profile2, function, log, , , log
dsa2/core_run.py:data_profile2, function, run_profile, , , run_profile
dsa2/core_run.py:data_profile, function, get_config_path, , , get_config_path
dsa2/core_run.py:data_profile, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:data_profile, function, log, , , log
dsa2/core_run.py:data_profile, function, run_profile, , , run_profile
dsa2/core_run.py:data_profile, function, data_profile, , , data_profile
dsa2/core_run.py:preprocess, function, get_config_path, , , get_config_path
dsa2/core_run.py:preprocess, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:preprocess, function, log, , , log
dsa2/core_run.py:preprocess, function, run_preprocess.run_preprocess, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: run_preprocess:run_preprocess
dsa2/core_run.py:train, function, get_config_path, , , get_config_path
dsa2/core_run.py:train, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:train, function, log, , , log
dsa2/core_run.py:train, function, run_train.run_train, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: run_train:run_train
dsa2/core_run.py:check, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:check, function, log, , , log
dsa2/core_run.py:predict, function, get_config_path, , , get_config_path
dsa2/core_run.py:predict, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:predict, function, log, , , log
dsa2/core_run.py:predict, function, run_inference.run_predict, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: run_inference:run_predict
dsa2/core_run.py:train_sampler, function, get_config_path, , , get_config_path
dsa2/core_run.py:train_sampler, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:train_sampler, function, log, , , log
dsa2/core_run.py:train_sampler, function, run_sampler.run_train, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: run_sampler:run_train
dsa2/core_run.py:transform, function, get_config_path, , , get_config_path
dsa2/core_run.py:transform, function, get_global_pars, , , get_global_pars
dsa2/core_run.py:transform, function, log, , , log
dsa2/core_run.py:transform, function, run_sampler.run_transform, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: run_sampler:run_transform
dsa2/core_run.py:hyperparam_wrapper, function, config_full.split, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: config_full:split
dsa2/core_run.py:hyperparam_wrapper, function, load_function_uri, , , load_function_uri
dsa2/core_run.py:hyperparam_wrapper, function, mdict, , , mdict
dsa2/core_run.py:hyperparam_wrapper, function, objective_fun, , , objective_fun
dsa2/core_run.py:hyperparam_wrapper, function, log, , , log
dsa2/core_run.py:hyperparam_wrapper, function, run_train, , , run_train
dsa2/core_run.py:hyperparam_wrapper, function, print, , , print
dsa2/core_run.py:hyperparam_wrapper, function, run_hyper_optuna, , , run_hyper_optuna
dsa2/core_run.py:hyperparam_wrapper, function, os.makedirs, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:makedirs
dsa2/core_run.py:hyperparam_wrapper, function, json.dump, [CLASS] [STDLIB], C:/Python39/lib/json, [CLASS] [STDLIB]: json:dump
dsa2/core_run.py:hyperparam_wrapper, function, open, [BUILT_IN], , [BUILT_IN]: open
dsa2/core_run.py:deploy, function, uvicorn.run, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/uvicorn, [CLASS] [SIDE_PACKAGE]: uvicorn:run
dsa2/core_test.py:os_bash, function, subprocess.run, [CLASS] [STDLIB], , [CLASS] [STDLIB]: subprocess:run
dsa2/core_test.py:log_separator, function, print, , , print
dsa2/core_test.py:log_info_repo, function, os_bash, , , os_bash
dsa2/core_test.py:log_info_repo, function, repo.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: repo:replace
dsa2/core_test.py:log_info_repo, function, workflow.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: workflow:replace
dsa2/core_test.py:log_info_repo, function, sha.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: sha:replace
dsa2/core_test.py:log_info_repo, function, branch.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: branch:replace
dsa2/core_test.py:log_info_repo, function, locals, , , locals
dsa2/core_test.py:log_info_repo, function, dlocal.get, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: dlocal:get
dsa2/core_test.py:log_info_repo, function, log_separator, , , log_separator
dsa2/core_test.py:log_info_repo, function, print, , , print
dsa2/core_test.py:os_file_current_path, function, str, [BUILT_IN], , [BUILT_IN]: str
dsa2/core_test.py:os_system, function, to_logfile, , , to_logfile
dsa2/core_test.py:os_system, function, os.system, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:system
dsa2/core_test.py:json_load, function, json.load, [CLASS] [STDLIB], C:/Python39/lib/json, [CLASS] [STDLIB]: json:load
dsa2/core_test.py:log_remote_start, function, log, , , log
dsa2/core_test.py:log_remote_start, function, os.system, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:system
dsa2/core_test.py:test_functions, function, path_norm, , , path_norm
dsa2/core_test.py:test_functions, function, json.load, [CLASS] [STDLIB], C:/Python39/lib/json, [CLASS] [STDLIB]: json:load
dsa2/core_test.py:test_functions, function, log, , , log
dsa2/core_test.py:test_functions, function, load_function_uri, , , load_function_uri
dsa2/core_test.py:test_functions, function, p.get, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: p:get
dsa2/core_test.py:test_functions, function, len, , , len
dsa2/core_test.py:test_functions, function, myfun, , , myfun
dsa2/core_test.py:test_model_structure, function, log, , , log
dsa2/core_test.py:test_model_structure, function, os.getcwd, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:getcwd
dsa2/core_test.py:test_model_structure, function, os.system, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:system
dsa2/core_test.py:test_import, function, log_info_repo, , , log_info_repo
dsa2/core_test.py:test_import, function, log_separator, , , log_separator
dsa2/core_test.py:test_import, function, log, , , log
dsa2/core_test.py:test_import, function, os_get_file, , , os_get_file
dsa2/core_test.py:test_import, function, print, , , print
dsa2/core_test.py:test_import, function, f.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: f:replace
dsa2/core_test.py:test_import, function, import_module, , , import_module
dsa2/core_test.py:test_jupyter, function, log_info_repo, , , log_info_repo
dsa2/core_test.py:test_jupyter, function, os_package_root_path, , , os_package_root_path
dsa2/core_test.py:test_jupyter, function, root.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: root:replace
dsa2/core_test.py:test_jupyter, function, str, [BUILT_IN], , [BUILT_IN]: str
dsa2/core_test.py:test_jupyter, function, print, , , print
dsa2/core_test.py:test_jupyter, function, get_recursive_files2, , , get_recursive_files2
dsa2/core_test.py:test_jupyter, function, log_separator, , , log_separator
dsa2/core_test.py:test_jupyter, function, file.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: file:replace
dsa2/core_test.py:test_jupyter, function, git.get, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/git, [CLASS] [SIDE_PACKAGE]: git:get
dsa2/core_test.py:test_jupyter, function, os.system, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:system
dsa2/core_test.py:test_jupyter, function, os_file_replace, , , os_file_replace
dsa2/core_test.py:os_file_replace, function, open, [BUILT_IN], , [BUILT_IN]: open
dsa2/core_test.py:os_file_replace, function, file.read, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: file:read
dsa2/core_test.py:os_file_replace, function, filedata.replace, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: filedata:replace
dsa2/core_test.py:os_file_replace, function, file.write, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: file:write
