uri, type, function, type2, path2, tag
DALLE-pytorch/train_dalle.py:get_trainable_params, function, model.parameters, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:parameters
DALLE-pytorch/train_dalle.py:cp_path_to_dir, function, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
DALLE-pytorch/train_dalle.py:cp_path_to_dir, function, Path, [FUNC] [SIDE_PACKAGE], , [FUNC] [SIDE_PACKAGE]: pathlib.Path
DALLE-pytorch/train_dalle.py:cp_path_to_dir, function, cp_path.is_dir, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: cp_path:is_dir
DALLE-pytorch/train_dalle.py:group_weight, function, model.named_parameters, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:named_parameters
DALLE-pytorch/train_dalle.py:group_weight, function, group_no_decay.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: group_no_decay:append
DALLE-pytorch/train_dalle.py:group_weight, function, group_decay.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: group_decay:append
DALLE-pytorch/train_dalle.py:group_weight, function, len, , , len
DALLE-pytorch/train_dalle.py:group_weight, function, dict, [BUILT_IN], , [BUILT_IN]: dict
DALLE-pytorch/train_dalle.py:imagetransform, function, Image.open, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: Image:open
DALLE-pytorch/train_dalle.py:tokenize, function, tokenizer.tokenize, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: tokenizer:tokenize
DALLE-pytorch/train_dalle.py:tokenize, function, s.decode, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: s:decode
DALLE-pytorch/train_dalle.py:save_model, function, cp_path_to_dir, , , cp_path_to_dir
DALLE-pytorch/train_dalle.py:save_model, function, distr_backend.is_root_worker, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: distr_backend:is_root_worker
DALLE-pytorch/train_dalle.py:save_model, function, sorted, [BUILT_IN], , [BUILT_IN]: sorted
