uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
setup.py:read_requirements,read_requirements,function,8,15,13,186,12.4,0,1,"['thelibFolder', 'filename']","[None, None]","[None, None]",8,[],"['open', 'f.read']",2
examples/adhoc_scaffold.py:make_mixed_classification,make_mixed_classification,function,26,58,44,645,11.12,3,2,"['n_samples', 'n_features', 'n_categories']","[None, None, None]","[None, None, None]",11,[],"['make_classification', 'random.choices', 'range', 'pd.qcut', 'col_names.append', 'cat_col_names.append', 'num_col_names.append', 'pd.DataFrame', 'pd.Series', 'X.join']",10
examples/adhoc_scaffold.py:print_metrics,print_metrics,function,14,35,26,364,10.4,0,4,"['y_true', 'y_pred', 'tag']","[None, None, None]","[None, None, None]",32,[],"['isinstance', 'accuracy_score', 'f1_score', 'print']",4
examples/to_test_node.py:regression_data,regression_data,function,14,23,22,369,16.04,0,0,[],[],[],14,[],"['fetch_california_housing', 'pd.qcut', 'df.sample', 'len']",4
examples/to_test_node.py:classification_data,classification_data,function,19,36,34,526,14.61,1,0,[],[],[],25,[],"['fetch_covtype', 'np.hstack', 'range', 'pd.DataFrame', 'pd.qcut', 'data.sample', 'len']",7
examples/to_test_node.py:test_regression,test_regression,function,20,63,54,1001,15.89,0,2,"['regression_data', 'multi_target', 'embed_categorical', 'continuous_cols', 'categorical_cols', 'continuous_feature_transform', 'normalize_continuous_features', '']","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",39,[],"['len', 'DataConfig', 'dict', 'NodeConfig', 'TrainerConfig', 'OptimizerConfig', 'TabularModel', 'tabular_model.fit', 'tabular_model.evaluate', 'tabular_model.predict']",10
examples/to_test_node.py:test_classification,test_classification,function,19,51,48,921,18.06,0,1,"['classification_data', 'continuous_cols', 'categorical_cols', 'embed_categorical', 'continuous_feature_transform', 'normalize_continuous_features', '']","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",84,[],"['len', 'DataConfig', 'dict', 'NodeConfig', 'TrainerConfig', 'OptimizerConfig', 'TabularModel', 'tabular_model.fit', 'tabular_model.evaluate', 'tabular_model.predict']",10
examples/to_test_regression.py:fake_metric,fake_metric,function,1,3,3,22,7.33,0,0,"['y_hat', 'y']","[None, None]","[None, None]",96,[],[],0
examples/to_test_regression_custom_models.py:MultiStageModelConfig,MultiStageModelConfig,class,88,475,238,2968,6.25,0,1,[],[],[],51,[],[],0
pytorch_tabular/categorical_encoders.py:BaseEncoder,BaseEncoder,class,42,170,108,1426,8.39,2,7,[],[],[],22,[],[],0
