uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
main.py:get_obj_from_str,get_obj_from_str,function,9,13,13,177,13.62,0,1,"['string', 'reload']","[None, None]","[None, 'False']",14,[],"['string.rsplit', 'importlib.import_module', 'importlib.reload', 'getattr']",4
main.py:get_parser,get_parser,function,9,149,103,1356,9.1,0,2,['**parser_kwargs'],[None],[None],22,[],"['str2bool', 'isinstance', 'v.lower', 'argparse.ArgumentTypeError', 'argparse.ArgumentParser', 'parser.add_argument', 'default=list']",7
main.py:nondefault_trainer_args,nondefault_trainer_args,function,7,17,16,165,9.71,0,0,['opt'],[None],[None],106,[],"['argparse.ArgumentParser', 'Trainer.add_argparse_args', 'parser.parse_args', 'sorted', 'vars', 'getattr']",6
main.py:instantiate_from_config,instantiate_from_config,function,3,14,14,145,10.36,0,1,['config'],[None],[None],113,[],"['KeyError', 'get_obj_from_str', 'dict']",3
main.py:WrappedDataset,WrappedDataset,class,7,14,11,130,9.29,0,0,[],[],[],119,[],[],0
main.py:DataModuleFromConfig,DataModuleFromConfig,class,35,96,69,1260,13.12,3,5,[],[],[],131,[],[],0
main.py:SetupCallback,SetupCallback,class,30,71,63,1020,14.37,0,2,[],[],[],175,[],[],0
main.py:ImageLogger,ImageLogger,class,68,245,162,2783,11.36,5,7,[],[],[],215,[],[],0
main.py:WrappedDataset:__init__,WrappedDataset:__init__,method,2,2,2,17,8.5,0,0,"['self', 'dataset']","[None, None]","[None, None]",121,[],[],0
main.py:WrappedDataset:__len__,WrappedDataset:__len__,method,1,2,2,20,10.0,0,0,['self'],[None],[None],124,[],['len'],1
main.py:WrappedDataset:__getitem__,WrappedDataset:__getitem__,method,2,2,2,20,10.0,0,0,"['self', 'idx']","[None, None]","[None, None]",127,[],[],0
main.py:DataModuleFromConfig:__init__,DataModuleFromConfig:__init__,method,19,43,31,458,10.65,0,4,"['self', 'batch_size', 'train', 'validation', 'test', 'wrap', 'num_workers']","[None, None, None, None, None, None, None]","[None, None, 'None', 'None', 'None', 'False', 'None']",132,[],"['super', 'dict']",2
