uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
generate.py:exists,exists,function,2,5,5,18,3.6,0,0,['val'],[None],[None],64,[],[],0
train_dalle.py:exists,exists,function,2,5,5,18,3.6,0,0,['val'],[None],[None],141,[],[],0
train_dalle.py:get_trainable_params,get_trainable_params,function,3,8,8,65,8.12,1,0,['model'],[None],[None],144,[],['model.parameters'],1
train_dalle.py:cp_path_to_dir,cp_path_to_dir,function,9,17,14,194,11.41,0,2,"['cp_path', 'tag']","[None, None]","[None, None]",147,"['    """"""Convert a checkpoint path to a directory with `tag` inserted.\n', '    If `cp_path` is already a directory, return it unchanged.\n', '    """"""\n']","['isinstance', 'Path', 'cp_path.is_dir']",3
train_dalle.py:group_weight,group_weight,function,9,33,27,374,11.33,1,2,['model'],[None],[None],317,[],"['model.named_parameters', 'group_no_decay.append', 'group_decay.append', 'len', 'dict']",5
train_dalle.py:imagetransform,imagetransform,function,2,2,2,28,14.0,0,0,['b'],[None],[None],344,[],['Image.open'],1
train_dalle.py:tokenize,tokenize,function,4,5,5,107,21.4,0,0,['s'],[None],[None],347,[],"['tokenizer.tokenize', 's.decode']",2
train_dalle.py:save_model,save_model,function,19,88,68,1004,11.41,1,5,"['path', 'epoch']","[None, None]","[None, '0']",510,[],"['cp_path_to_dir', 'distr_backend.is_root_worker', 'sorted', 'shutil.rmtree', 'distr_dalle.save_checkpoint', 'torch.save', 'str', 'deepspeed_config.get', 'dalle.state_dict', 'opt.state_dict']",10
train_vae.py:save_model,save_model,function,14,29,25,339,11.69,0,2,['path'],[None],[None],196,[],"['Path', 'str', 'distr_vae.save_checkpoint', 'distr_backend.is_root_worker', 'vae.state_dict', 'torch.save']",6
dalle_pytorch/attention.py:exists,exists,function,2,5,5,18,3.6,0,0,['val'],[None],[None],13,[],[],0
dalle_pytorch/attention.py:uniq,uniq,function,3,6,6,32,5.33,1,0,['arr'],[None],[None],16,[],[],0
dalle_pytorch/attention.py:default,default,function,4,10,8,54,5.4,0,1,"['val', 'd']","[None, None]","[None, None]",19,[],"['exists', 'd', 'isfunction']",3
dalle_pytorch/attention.py:max_neg_value,max_neg_value,function,1,2,2,31,15.5,0,0,['t'],[None],[None],24,[],[],0
dalle_pytorch/attention.py:stable_softmax,stable_softmax,function,4,14,11,81,5.79,0,0,"['t', 'dim ', 'alpha ']","[None, None, None]","[None, ' -1', ' 32 ** 2']",27,[],['torch.amax'],1
dalle_pytorch/attention.py:apply_pos_emb,apply_pos_emb,function,7,12,12,102,8.5,0,0,"['pos_emb', 'qkv']","[None, None]","[None, None]",32,[],"['tuple', 'apply_rotary_emb']",2
dalle_pytorch/attention.py:Attention,Attention,class,52,179,120,1107,6.18,0,4,[],[],[],39,[],[],0
dalle_pytorch/attention.py:SparseConvCausalAttention,SparseConvCausalAttention,class,101,461,259,3048,6.61,0,2,[],[],[],90,[],[],0
dalle_pytorch/attention.py:SparseAxialCausalAttention,SparseAxialCausalAttention,class,101,428,233,2607,6.09,0,2,[],[],[],211,[],[],0
dalle_pytorch/attention.py:SparseAttention,SparseAttention,class,57,188,143,1585,8.43,0,4,[],[],[],325,[],[],0
dalle_pytorch/attention.py:Attention:__init__,Attention:__init__,method,17,28,25,270,9.64,0,0,"['self', 'dim', 'seq_len', 'causal ', 'heads ', 'dim_head ', 'dropout ', 'stable ']","[None, None, None, None, None, None, None, None]","[None, None, None, ' True', ' 8', ' 64', ' 0.', ' False']",40,[],"['super', 'nn.Linear', 'nn.Sequential', 'nn.Dropout']",4
dalle_pytorch/attention.py:Attention:forward,Attention:forward,method,38,130,78,699,5.38,0,4,"['self', 'x', 'mask ', 'rotary_pos_emb ']","[None, None, None, None]","[None, None, ' None', ' None']",56,[],"['self.to_qkv', 'map', 'rearrange', 'exists', 'apply_pos_emb', 'torch.einsum', 'max_neg_value', 'dots.masked_fill_', 'torch.ones', 'softmax', 'self.to_out']",11
dalle_pytorch/attention.py:SparseConvCausalAttention:__init__,SparseConvCausalAttention:__init__,method,21,42,39,375,8.93,0,0,"['self', 'dim', 'seq_len', 'image_size ', 'kernel_size ', 'dilation ', 'heads ', 'dim_head ', 'dropout ', 'stable ', '**kwargs']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, ' 32', ' 5', ' 1', ' 8', ' 64', ' 0.', ' False', None]",91,[],"['super', 'nn.Linear', 'nn.Sequential', 'nn.Dropout']",4
dalle_pytorch/attention.py:SparseConvCausalAttention:forward,SparseConvCausalAttention:forward,method,83,393,205,2499,6.36,0,2,"['self', 'x', 'mask ', 'rotary_pos_emb ']","[None, None, None, None]","[None, None, ' None', ' None']",56,[],"['default', 'torch.ones', 'F.pad', 'self.to_qkv', 'map', 'rearrange', 'exists', 'apply_pos_emb', 'einsum', 'max_neg_value', 'dots_text.masked_fill_', 'softmax', 'F.unfold', 'torch.arange', 'repeat', 'torch.cat', 'dots.masked_fill_', 'self.to_out']",18
dalle_pytorch/attention.py:SparseAxialCausalAttention:__init__,SparseAxialCausalAttention:__init__,method,22,46,42,359,7.8,0,0,"['self', 'dim', 'seq_len', 'image_size ', 'axis ', 'heads ', 'dim_head ', 'dropout ', 'stable ', '**kwargs']","[None, None, None, None, None, None, None, None, None, None]","[None, None, None, ' 32', ' 0', ' 8', ' 64', ' 0.', ' False', None]",212,[],"['super', 'nn.Linear', 'nn.Sequential', 'nn.Dropout']",4
dalle_pytorch/attention.py:SparseAxialCausalAttention:forward,SparseAxialCausalAttention:forward,method,82,358,179,2092,5.84,0,2,"['self', 'x', 'mask ', 'rotary_pos_emb ']","[None, None, None, None]","[None, None, ' None', ' None']",56,[],"['default', 'torch.ones', 'F.pad', 'self.to_qkv', 'map', 'rearrange', 'exists', 'apply_pos_emb', 'einsum', 'max_neg_value', 'dots_text.masked_fill_', 'softmax', 'torch.cat', 'repeat', 'dots.masked_fill_', 'self.to_out']",16
dalle_pytorch/attention.py:SparseAttention:__init__,SparseAttention:__init__,method,16,43,40,592,13.77,0,0,"['self', '*args', 'block_size ', 'text_seq_len ', 'num_random_blocks ', '**kwargs']","[None, None, None, None, None, None]","[None, None, ' 16', ' 256', ' None', None]",326,[],"['super', 'default', 'list', 'SparseSelfAttention', 'VariableSparsityConfig']",5
