uri, type, function, type2, path2, tag
pytorch_tabular/setup.py:read_requirements, function, open, [BUILT_IN], , [BUILT_IN]: open
pytorch_tabular/setup.py:read_requirements, function, f.read, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: f:read
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, make_classification, , , make_classification
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, random.choices, [CLASS] [STDLIB], , [CLASS] [STDLIB]: random:choices
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, range, , , range
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, pd.qcut, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/pandas, [CLASS] [SIDE_PACKAGE]: pd:qcut
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, col_names.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: col_names:append
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, cat_col_names.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: cat_col_names:append
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, num_col_names.append, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: num_col_names:append
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, pd.DataFrame, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/pandas, [CLASS] [SIDE_PACKAGE]: pd:DataFrame
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, pd.Series, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/pandas, [CLASS] [SIDE_PACKAGE]: pd:Series
pytorch_tabular/examples/adhoc_scaffold.py:make_mixed_classification, function, X.join, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: X:join
pytorch_tabular/examples/adhoc_scaffold.py:print_metrics, function, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
pytorch_tabular/examples/adhoc_scaffold.py:print_metrics, function, accuracy_score, , , accuracy_score
pytorch_tabular/examples/adhoc_scaffold.py:print_metrics, function, f1_score, , , f1_score
pytorch_tabular/examples/adhoc_scaffold.py:print_metrics, function, print, , , print
pytorch_tabular/examples/to_test_node.py:regression_data, function, fetch_california_housing, , , fetch_california_housing
pytorch_tabular/examples/to_test_node.py:regression_data, function, pd.qcut, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/pandas, [CLASS] [SIDE_PACKAGE]: pd:qcut
pytorch_tabular/examples/to_test_node.py:regression_data, function, df.sample, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: df:sample
pytorch_tabular/examples/to_test_node.py:regression_data, function, len, , , len
pytorch_tabular/examples/to_test_node.py:classification_data, function, fetch_covtype, , , fetch_covtype
pytorch_tabular/examples/to_test_node.py:classification_data, function, np.hstack, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/numpy, [CLASS] [SIDE_PACKAGE]: np:hstack
pytorch_tabular/examples/to_test_node.py:classification_data, function, range, , , range
