uri, type, function, type2, path2, tag
taming-transformers/main.py:get_obj_from_str, function, string.rsplit, [CLASS] [STDLIB], , [CLASS] [STDLIB]: string:rsplit
taming-transformers/main.py:get_obj_from_str, function, importlib.import_module, [CLASS] [STDLIB], C:/Python39/lib/importlib, [CLASS] [STDLIB]: importlib:import_module
taming-transformers/main.py:get_obj_from_str, function, importlib.reload, [CLASS] [STDLIB], C:/Python39/lib/importlib, [CLASS] [STDLIB]: importlib:reload
taming-transformers/main.py:get_obj_from_str, function, getattr, , , getattr
taming-transformers/main.py:get_parser, function, str2bool, , , str2bool
taming-transformers/main.py:get_parser, function, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
taming-transformers/main.py:get_parser, function, v.lower, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: v:lower
taming-transformers/main.py:get_parser, function, argparse.ArgumentTypeError, [CLASS] [STDLIB], , [CLASS] [STDLIB]: argparse:ArgumentTypeError
taming-transformers/main.py:get_parser, function, argparse.ArgumentParser, [CLASS] [STDLIB], , [CLASS] [STDLIB]: argparse:ArgumentParser
taming-transformers/main.py:get_parser, function, parser.add_argument, [CLASS] [STDLIB], , [CLASS] [STDLIB]: parser:add_argument
taming-transformers/main.py:get_parser, function, default=list, , , default=list
taming-transformers/main.py:nondefault_trainer_args, function, argparse.ArgumentParser, [CLASS] [STDLIB], , [CLASS] [STDLIB]: argparse:ArgumentParser
taming-transformers/main.py:nondefault_trainer_args, function, Trainer.add_argparse_args, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: Trainer:add_argparse_args
taming-transformers/main.py:nondefault_trainer_args, function, parser.parse_args, [CLASS] [STDLIB], , [CLASS] [STDLIB]: parser:parse_args
taming-transformers/main.py:nondefault_trainer_args, function, sorted, [BUILT_IN], , [BUILT_IN]: sorted
taming-transformers/main.py:nondefault_trainer_args, function, vars, , , vars
taming-transformers/main.py:nondefault_trainer_args, function, getattr, , , getattr
taming-transformers/main.py:instantiate_from_config, function, KeyError, , , KeyError
taming-transformers/main.py:instantiate_from_config, function, get_obj_from_str, , , get_obj_from_str
taming-transformers/main.py:instantiate_from_config, function, dict, [BUILT_IN], , [BUILT_IN]: dict
taming-transformers/scripts/extract_depth.py:get_state, function, midas.cuda, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: midas:cuda
taming-transformers/scripts/extract_depth.py:get_state, function, midas.eval, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: midas:eval
taming-transformers/scripts/extract_depth.py:depth_to_rgba, function, len, , , len
taming-transformers/scripts/extract_depth.py:depth_to_rgba, function, x.copy, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: x:copy
taming-transformers/scripts/extract_depth.py:depth_to_rgba, function, y.reshape, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: y:reshape
taming-transformers/scripts/extract_depth.py:depth_to_rgba, function, np.ascontiguousarray, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/numpy, [CLASS] [SIDE_PACKAGE]: np:ascontiguousarray
taming-transformers/scripts/extract_depth.py:rgba_to_depth, function, len, , , len
taming-transformers/scripts/extract_depth.py:rgba_to_depth, function, x.copy, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: x:copy
taming-transformers/scripts/extract_depth.py:rgba_to_depth, function, y.reshape, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: y:reshape
taming-transformers/scripts/extract_depth.py:rgba_to_depth, function, np.ascontiguousarray, [CLASS] [SIDE_PACKAGE], C:/Python39/lib/site-packages/numpy, [CLASS] [SIDE_PACKAGE]: np:ascontiguousarray
taming-transformers/scripts/extract_depth.py:run, function, torch.no_grad, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:no_grad
taming-transformers/scripts/extract_depth.py:run, function, model, , , model
taming-transformers/scripts/extract_depth.py:run, function, prediction.unsqueeze, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: prediction:unsqueeze
taming-transformers/scripts/extract_depth.py:run, function, prediction.cpu, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: prediction:cpu
taming-transformers/scripts/extract_depth.py:get_filename, function, relpath.split, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: relpath:split
taming-transformers/scripts/extract_depth.py:save_depth, function, os.makedirs, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:makedirs
taming-transformers/scripts/extract_depth.py:save_depth, function, len, , , len
taming-transformers/scripts/extract_depth.py:save_depth, function, get_state, , , get_state
taming-transformers/scripts/extract_depth.py:save_depth, function, trange, [FUNC] [SIDE_PACKAGE], C:/Python39/lib/site-packages/tqdm, [FUNC] [SIDE_PACKAGE]: tqdm.trange
taming-transformers/scripts/extract_depth.py:save_depth, function, get_filename, , , get_filename
taming-transformers/scripts/extract_depth.py:save_depth, function, run, , , run
taming-transformers/scripts/extract_depth.py:save_depth, function, depth_to_rgba, , , depth_to_rgba
taming-transformers/scripts/extract_depth.py:save_depth, function, Image.fromarray, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: Image:fromarray
taming-transformers/scripts/extract_segmentation.py:rescale_bgr, function, torch.flip, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:flip
taming-transformers/scripts/extract_segmentation.py:run_model, function, model.eval, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:eval
taming-transformers/scripts/extract_segmentation.py:run_model, function, torch.no_grad, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:no_grad
taming-transformers/scripts/extract_segmentation.py:run_model, function, model, , , model
taming-transformers/scripts/extract_segmentation.py:run_model, function, torch.argmax, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:argmax
taming-transformers/scripts/extract_segmentation.py:run_model, function, segmentation.detach, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: segmentation:detach
taming-transformers/scripts/extract_segmentation.py:get_input, function, len, , , len
taming-transformers/scripts/extract_segmentation.py:get_input, function, x.permute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: x:permute
taming-transformers/scripts/extract_segmentation.py:get_input, function, x.float, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: x:float
