,a,b,c,d
0,1,1,9,0
1,9,7,3,5
2,8,4,5,3
3,8,4,1,5
4,1,2,1,3
5,8,5,1,6
6,4,7,2,9
7,9,2,3,8
8,8,4,7,2
9,2,2,2,2
10,6,6,4,2
11,4,3,8,4
12,8,8,2,4
13,0,3,2,7
14,8,1,3,3
15,4,6,6,2
16,9,6,1,0
17,1,5,6,6
18,3,6,3,1
19,2,0,3,3
20,7,7,8,1
21,7,2,8,4
22,3,2,8,1
23,5,3,7,2
24,8,3,8,5
25,9,8,1,7
26,8,0,5,1
27,3,0,8,3
28,6,2,2,4
29,2,2,8,3
30,2,7,6,4
31,5,4,0,0
32,0,1,7,9
33,3,9,3,6
34,0,8,1,1
35,6,4,4,4
36,1,4,0,0
37,9,7,2,6
38,2,5,4,3
39,6,9,9,8
40,1,7,5,9
41,0,3,8,7
42,8,3,8,2
43,1,1,7,7
44,6,2,2,7
45,2,1,8,5
46,5,8,7,8
47,4,2,9,5
48,2,8,6,3
49,7,8,7,3
50,7,1,0,5
51,7,4,3,8
52,8,8,9,0
53,0,4,9,0
54,6,2,8,4
55,5,8,8,5
56,9,4,3,0
57,9,3,9,1
58,5,2,5,3
59,7,4,6,3
60,4,0,4,4
61,9,1,1,2
62,9,7,4,3
63,7,0,3,4
64,0,7,9,2
65,4,1,8,3
66,2,6,1,7
67,3,8,1,7
68,2,0,6,6
69,9,7,5,3
70,9,1,2,4
71,1,7,7,8
72,3,3,1,3
73,6,5,7,9
74,1,0,4,7
75,4,0,0,3
76,4,1,0,8
77,2,4,7,1
78,0,8,1,0
79,0,2,2,4
80,1,4,7,9
81,4,6,7,0
82,4,2,2,0
83,6,9,4,9
84,7,3,0,3
85,9,4,3,8
86,3,7,7,9
87,1,7,7,4
88,7,3,5,6
89,9,5,1,8
90,9,9,4,3
91,0,4,2,8
92,3,0,9,0
93,8,8,7,6
94,2,1,1,4
95,6,9,0,2
96,7,3,0,3
97,1,6,9,6
98,0,9,4,7
99,1,9,1,7
