model_type,worda,wordb,value,worda_freq
model,family,ss,0.9977964162826538,577
model,family,power,0.9965837001800537,577
model,family,set,0.9955893158912659,577
model,family,end,0.9954497814178467,577
model,family,effect,0.995017409324646,577
model,family,government,0.9811391830444336,577
model,family,different,0.9777979254722595,577
model,family,information,0.9716639518737793,577
model,family,opposed,0.953191876411438,577
model,family,change,0.9355403780937195,577
model,family,however,0.9333702325820923,577
model,family,growth,0.9203608632087708,577
model,family,number,0.9073227643966675,577
model,family,substance,0.8815526962280273,577
model,family,american,0.8685237765312195,577
model,family,began,0.8552072048187256,577
model,family,legal,0.8417106866836548,577
model,family,cloud,0.8309590220451355,577
model,family,economic,0.8023051023483276,577
model,family,one,0.7956456542015076,577
cocount,family,ss,1154.0,577
cocount,family,end,120.0,577
cocount,family,set,119.0,577
cocount,family,effect,108.0,577
cocount,family,power,106.0,577
cocount,family,rule,19.0,577
cocount,family,american,18.0,577
cocount,family,cloud,16.0,577
cocount,family,human,16.0,577
cocount,family,war,13.0,577
cocount,family,one,12.0,577
cocount,family,state,12.0,577
cocount,family,substance,12.0,577
cocount,family,change,11.0,577
cocount,family,france,10.0,577
cocount,family,government,10.0,577
cocount,family,chemistry,9.0,577
cocount,family,different,9.0,577
cocount,family,growth,9.0,577
cocount,family,number,9.0,577
model,end,ss,0.9973781108856201,352
model,end,family,0.9954497218132019,352
model,end,set,0.995232105255127,352
model,end,power,0.9948666095733643,352
model,end,effect,0.9934094548225403,352
model,end,different,0.9794731736183167,352
model,end,government,0.9791519641876221,352
model,end,information,0.9681656956672668,352
model,end,opposed,0.9529483318328857,352
model,end,change,0.9356100559234619,352
model,end,however,0.9309549331665039,352
model,end,growth,0.9179026484489441,352
model,end,number,0.9007656574249268,352
model,end,substance,0.8811827898025513,352
model,end,american,0.8708429336547852,352
model,end,began,0.8596010208129883,352
model,end,legal,0.8437712788581848,352
model,end,cloud,0.8305895328521729,352
model,end,economic,0.7911897897720337,352
model,end,one,0.7888671159744263,352
cocount,end,ss,704.0,352
cocount,end,family,120.0,352
cocount,end,set,68.0,352
cocount,end,effect,64.0,352
cocount,end,power,61.0,352
cocount,end,american,11.0,352
cocount,end,government,9.0,352
cocount,end,fund,8.0,352
cocount,end,posted,8.0,352
cocount,end,system,8.0,352
cocount,end,year,8.0,352
cocount,end,generate,7.0,352
cocount,end,sea,7.0,352
cocount,end,began,6.0,352
cocount,end,change,6.0,352
cocount,end,legal,6.0,352
cocount,end,one,6.0,352
cocount,end,substance,6.0,352
cocount,end,also,5.0,352
cocount,end,cloud,5.0,352
model,power,ss,0.997607946395874,384
model,power,family,0.9965837001800537,384
model,power,set,0.995322585105896,384
model,power,end,0.9948666095733643,384
model,power,effect,0.9947206974029541,384
model,power,different,0.9782395958900452,384
model,power,government,0.9778713583946228,384
model,power,information,0.9712275266647339,384
model,power,opposed,0.9557831287384033,384
model,power,change,0.9334874153137207,384
model,power,however,0.9307986497879028,384
model,power,growth,0.9184417128562927,384
model,power,number,0.9072993993759155,384
model,power,substance,0.880617618560791,384
model,power,american,0.872512698173523,384
model,power,began,0.8593714237213135,384
model,power,legal,0.8445255756378174,384
model,power,cloud,0.831558108329773,384
model,power,economic,0.8103537559509277,384
model,power,one,0.7906957268714905,384
cocount,power,ss,768.0,384
cocount,power,family,106.0,384
cocount,power,effect,87.0,384
cocount,power,set,81.0,384
cocount,power,end,61.0,384
cocount,power,american,11.0,384
cocount,power,french,10.0,384
cocount,power,cloud,9.0,384
cocount,power,europe,9.0,384
cocount,power,government,9.0,384
cocount,power,network,9.0,384
cocount,power,year,9.0,384
cocount,power,spain,8.0,384
cocount,power,world,8.0,384
cocount,power,country,7.0,384
cocount,power,different,7.0,384
cocount,power,change,6.0,384
cocount,power,growth,6.0,384
cocount,power,include,6.0,384
cocount,power,information,6.0,384
model,different,ss,0.9803282022476196,16
model,different,end,0.979473352432251,16
model,different,set,0.9788994193077087,16
model,different,power,0.9782395958900452,16
model,different,family,0.9777981042861938,16
model,different,effect,0.9761037826538086,16
model,different,government,0.9602053761482239,16
model,different,information,0.9526680707931519,16
model,different,opposed,0.9387685060501099,16
model,different,change,0.921332597732544,16
model,different,however,0.920091986656189,16
model,different,growth,0.9011001586914062,16
model,different,number,0.8841530084609985,16
model,different,substance,0.8609771132469177,16
model,different,american,0.8531768918037415,16
model,different,began,0.8316229581832886,16
model,different,legal,0.8264600038528442,16
model,different,cloud,0.8108757734298706,16
model,different,chemistry,0.7880276441574097,16
model,different,also,0.7851892709732056,16
cocount,different,ss,32.0,16
cocount,different,family,9.0,16
cocount,different,effect,7.0,16
cocount,different,power,7.0,16
cocount,different,set,5.0,16
cocount,different,end,4.0,16
cocount,different,active,0.0,16
cocount,different,also,0.0,16
cocount,different,american,0.0,16
cocount,different,animal,0.0,16
cocount,different,author,0.0,16
cocount,different,began,0.0,16
cocount,different,california,0.0,16
cocount,different,called,0.0,16
cocount,different,change,0.0,16
cocount,different,chemical,0.0,16
cocount,different,chemistry,0.0,16
cocount,different,city,0.0,16
cocount,different,cloud,0.0,16
cocount,different,colorado,0.0,16
model,interest,end,0.6902806162834167,6
model,interest,effect,0.6842645406723022,6
model,interest,power,0.6829249858856201,6
model,interest,ss,0.6810606122016907,6
model,interest,set,0.6773973703384399,6
model,interest,different,0.6753358840942383,6
model,interest,family,0.6741823554039001,6
model,interest,growth,0.6713869571685791,6
model,interest,government,0.6640841960906982,6
model,interest,information,0.6621648073196411,6
model,interest,however,0.6614837646484375,6
model,interest,change,0.6529105305671692,6
model,interest,opposed,0.6407326459884644,6
model,interest,cloud,0.6170663833618164,6
model,interest,began,0.6049180030822754,6
model,interest,american,0.5944204926490784,6
model,interest,country,0.5867650508880615,6
model,interest,substance,0.5686818361282349,6
model,interest,legal,0.5674253106117249,6
model,interest,also,0.5672956705093384,6
cocount,interest,ss,12.0,6
cocount,interest,end,4.0,6
cocount,interest,set,3.0,6
cocount,interest,effect,2.0,6
cocount,interest,family,2.0,6
cocount,interest,power,1.0,6
cocount,interest,active,0.0,6
cocount,interest,also,0.0,6
cocount,interest,american,0.0,6
cocount,interest,animal,0.0,6
cocount,interest,author,0.0,6
cocount,interest,began,0.0,6
cocount,interest,california,0.0,6
cocount,interest,called,0.0,6
cocount,interest,change,0.0,6
cocount,interest,chemical,0.0,6
cocount,interest,chemistry,0.0,6
cocount,interest,city,0.0,6
cocount,interest,cloud,0.0,6
cocount,interest,colorado,0.0,6
model,california,number,0.3864450454711914,11
model,california,different,0.37356963753700256,11
model,california,government,0.3716409504413605,11
model,california,however,0.36837756633758545,11
model,california,change,0.36438071727752686,11
model,california,power,0.3563583195209503,11
model,california,family,0.354981929063797,11
model,california,set,0.3527440130710602,11
model,california,ss,0.35153013467788696,11
model,california,effect,0.34767019748687744,11
model,california,end,0.34740716218948364,11
model,california,information,0.3414231538772583,11
model,california,cloud,0.3402765691280365,11
model,california,spain,0.3373926877975464,11
model,california,also,0.3326442241668701,11
model,california,study,0.3144245147705078,11
model,california,legal,0.3130970597267151,11
model,california,began,0.3111174702644348,11
model,california,american,0.3098662793636322,11
model,california,various,0.3068433701992035,11
cocount,california,ss,22.0,11
cocount,california,set,7.0,11
cocount,california,effect,4.0,11
cocount,california,end,4.0,11
cocount,california,family,4.0,11
cocount,california,power,3.0,11
cocount,california,active,0.0,11
cocount,california,also,0.0,11
cocount,california,american,0.0,11
cocount,california,animal,0.0,11
