model_type,worda,wordb,value,worda_freq
model,rule,family,0.2621031105518341,20
model,rule,group,0.25004416704177856,20
model,rule,include,0.22588829696178436,20
model,rule,year,0.19820350408554077,20
model,rule,set,0.18698015809059143,20
model,rule,chemistry,0.16861337423324585,20
model,rule,france,0.16401603817939758,20
model,rule,illinois,0.16281433403491974,20
model,rule,object,0.15305346250534058,20
model,rule,french,0.152490496635437,20
model,rule,american,0.14007467031478882,20
model,rule,end,0.13998402655124664,20
model,rule,roughly,0.1332254707813263,20
model,rule,animal,0.12520204484462738,20
model,rule,chemical,0.12080830335617065,20
model,rule,japan,0.12016734480857849,20
model,rule,network,0.11911442875862122,20
model,rule,economic,0.11839386820793152,20
model,rule,effect,0.11761165410280228,20
model,rule,posted,0.11579253524541855,20
cocount,rule,family,19.0,20
cocount,rule,effect,7.0,20
cocount,rule,power,6.0,20
cocount,rule,set,5.0,20
cocount,rule,end,3.0,20
cocount,rule,active,0.0,20
cocount,rule,also,0.0,20
cocount,rule,american,0.0,20
cocount,rule,animal,0.0,20
cocount,rule,author,0.0,20
cocount,rule,began,0.0,20
cocount,rule,california,0.0,20
cocount,rule,called,0.0,20
cocount,rule,change,0.0,20
cocount,rule,chemical,0.0,20
cocount,rule,chemistry,0.0,20
cocount,rule,city,0.0,20
cocount,rule,cloud,0.0,20
cocount,rule,colorado,0.0,20
cocount,rule,country,0.0,20
model,family,effect,0.6452561616897583,577
model,family,set,0.49624672532081604,577
model,family,end,0.4954499304294586,577
model,family,power,0.49111488461494446,577
model,family,rule,0.2621031105518341,577
model,family,illinois,0.24755331873893738,577
model,family,ocean,0.23115170001983643,577
model,family,french,0.2106916457414627,577
model,family,precipitating,0.2086906135082245,577
model,family,american,0.19411255419254303,577
model,family,group,0.19107437133789062,577
model,family,opposed,0.16785627603530884,577
model,family,posted,0.16210736334323883,577
model,family,year,0.15351030230522156,577
model,family,lack,0.1473170518875122,577
model,family,chemistry,0.1440432071685791,577
model,family,france,0.1403961330652237,577
model,family,spain,0.13339415192604065,577
model,family,japan,0.12918248772621155,577
model,family,network,0.1283772885799408,577
cocount,family,end,120.0,577
cocount,family,set,119.0,577
cocount,family,effect,108.0,577
cocount,family,power,106.0,577
cocount,family,rule,19.0,577
cocount,family,american,18.0,577
cocount,family,cloud,16.0,577
cocount,family,human,16.0,577
cocount,family,war,13.0,577
cocount,family,one,12.0,577
